,headline,cleaned headline,score,sentiment
0,"Russia-Ukraine war LIVE updates: NATO leaders meet to reassure allies near Russia, Ukraine; Air India to operate 3 flights to Bucharest to evacuate Indians",russia ukrain war live updat nato leader meet reassur alli near russia ukrain air india oper flight bucharest evacu indian,0.11818181818181818,Positive
1,CNBC-TV18 Classroom: What should be your options trading exit strategy? Here's an explainer,cnbc tv classroom option trade exit strategi explain,0.0,Neutral
2,"Ukraine-Russia conflict: From sunflower oil to beer, what consumer goods could get costlier",ukrain russia conflict sunflow oil beer consum good could get costlier,0.7,Positive
3,IOC to be dropped from Nifty 50 from March 31,ioc drop nifti march,0.0,Neutral
4,CBI says NSE Himalayan yogi none other than Anand Subramanian,cbi say nse himalayan yogi none anand subramanian,0.0,Neutral
5,"Gold bond issue price fixed at Rs 5,109 per gm; subscription opens Monday",gold bond issu price fix rs per gm subscript open monday,0.0,Neutral
6,News Wrap Feb 25: Ukraine crisis throws global central banks' rate-hike plans off track,news wrap feb ukrain crisi throw global central bank rate hike plan track,0.0,Neutral
7,"Top News Podcast: Air India flights to evacuate Indians stranded in Ukraine; Delhi lifts COVID-19 curbs, Sensex, Nifty rebound and more",top news podcast air india flight evacu indian strand ukrain delhi lift covid curb sensex nifti rebound,0.5,Positive
8,Religare Broking launches ‘Pre-Apply LIC IPO’ app,religar broke launch pre appli lic ipo app,0.0,Neutral
9,"Jai Bala is negative on banks, says Nifty may correct to 14,000 in medium term",jai bala neg bank say nifti may correct medium term,0.0,Neutral
10,"As broader markets rebound, smallcap index on edge of bear zone",broader market rebound smallcap index edg bear zone,0.0,Neutral
11,Top News Podcast: UK says Russian invasion of Ukraine has begun,top news podcast uk say russian invas ukrain begun,0.25,Positive
12,"Stock Market Highlights: Sensex ends 1,329 pts higher, Nifty50 reclaims 16,650 as market rebounds; Tata Steel, IndusInd surge 6%",stock market highlight sensex end pt higher nifti reclaim market rebound tata steel indusind surg,0.25,Positive
13,Russia-Ukraine crisis can accelerate supply side issues: FADA,russia ukrain crisi acceler suppli side issu fada,0.0,Neutral
